"source","target"
99356,90635
100266,139259
100372,54900
100556,92753
104062,103207
104201,153759
104230,120621
104313,105087
104360,150791
104401,125193
104121,93615
104248,135162
104443,151341
104600,114837
104694,108957
104697,93447
104857,89411
104878,94735
104960,112680
98787,94777
98910,99344
99065,81936
99200,107176
93893,108506
94227,105327
94296,127823
94451,103506
94536,102717
103322,120542
103506,105199
104032,153310
104461,128702
104653,104160
105061,100216
105143,87443
105327,67262
105512,140692
105697,102762
105706,141140
105775,91797
105786,90391
105805,114620
105976,134786
105999,102762
106025,87480
106030,139985
106372,89983
106628,125272
99372,111303
99404,153310
100149,120872
94731,91559
94943,150517
95098,121107
95179,128610
95616,122526
95683,89981
95759,154755
105084,150238
105128,92037
105175,103699
105346,152165
105507,94934
105779,107503
105992,46351
95268,71051
95401,109396
95486,86777
95503,109571
95561,118448
95765,98624
96011,125193
104787,46351
105386,124001
100565,153310
100697,88166
101209,86059
101249,98336
51803,104758
76640,108510
77381,114805
107046,113409
107051,95609
107114,122882
107677,138876
107694,111380
107708,95486
107709,83581
46100,88198
47569,99565
101319,126263
101362,83831
101503,92056
101566,95426
101708,127191
101824,108017
101844,73547
101895,111993
101940,85713
101997,151430
102136,104547
102218,109526
100298,101260
100463,91987
100470,113395
100597,152427
100728,109335
101168,92083
101243,137567
101352,115624
101488,93137
106193,103565
106275,97495
106291,101844
106329,105324
106352,123201
106363,96806
106433,72624
106463,81081
106594,129946
106658,94231
106663,135902
106742,132003
107098,128495
107167,141078
107224,104334
107489,94858
107491,130073
107573,103319
107630,114141
72420,129495
72624,115988
73348,124273
74352,127010
77831,101814
95789,150998
95805,127306
96141,100266
96153,130463
96328,88198
96383,116851
96437,121192
96501,106467
96538,81169
96547,86425
96636,92056
106401,120093
106474,104010
107081,151874
107094,131170
107302,95821
107537,88625
102330,127159
102431,121879
102467,123024
102499,101408
102592,110214
102686,100372
102717,141188
102762,104299
102767,45
102871,92279
102947,102553
103056,114776
103116,99133
49750,135350
103159,91016
103306,126291
103501,130073
103533,123343
103809,102686
103992,96163
104018,112009
104108,103116
104306,129889
75296,86797
77382,45
101875,150638
101969,117355
101980,114202
102100,114202
102150,125360
102200,131563
102418,107503
102569,93447
63111,79641
63406,119962
55986,91365
57780,120030
96587,119723
96951,150238
97276,105175
97488,86797
97659,100792
104608,129426
104611,85369
104778,140120
104803,138432
104824,68077
104852,110999
104885,70857
105123,108163
107816,128525
108141,99384
108252,100342
108288,130188
108452,93084
108635,96395
107743,102686
107767,85369
107770,97121
107943,107115
107948,89983
108084,153759
108132,119837
108196,119962
108234,70857
108404,111621
108474,123814
108487,151360
96985,105775
97255,132468
97426,68862
79271,109680
79640,54900
51602,136631
107782,91559
108008,127153
108041,99443
108055,127559
108382,103207
108483,96569
60116,113731
60379,54900
102863,112680
103036,139114
103053,86346
103161,152142
103310,137221
103319,82805
103494,91962
103605,140262
103804,129543
103813,132225
97690,97256
97707,87260
97804,115988
97928,92214
97961,95401
97989,103063
98196,125961
98282,111380
98359,150756
98426,92413
98432,92174
77726,91822
78031,113013
78284,109889
105767,131241
106010,138692
106087,89352
106094,131090
106179,
97700,154755
97832,92211
98241,126258
98321,97229
98538,110255
98550,121092
98563,91456
98746,99443
98778,81832
53375,92279
80218,88663
108949,72412
108965,81330
109037,90287
109070,124520
109252,122983
109338,128494
109466,127642
109571,88159
109652,113558
62086,90287
108961,117355
109020,109406
109194,124667
108598,150791
109085,96395
109265,93245
109376,116393
109396,135162
62606,128708
62900,129577
109424,101609
109659,89053
109833,127428
109836,103161
110207,103169
110249,88198
110252,152354
110255,87632
103993,111754
104000,99398
104007,108260
104411,102006
104471,125819
78925,74201
106501,132298
107006,100145
107082,89223
107210,105383
98979,92643
99430,93855
99516,121672
99545,99565
99573,97316
98720,93766
100130,99430
100179,93269
100390,131563
100481,97248
109224,133047
109306,124001
109399,119458
109476,132183
109671,115452
109674,92279
109798,138835
109860,111993
57209,132548
59199,152357
55975,115635
57066,135176
104551,100613
104662,81826
104780,150906
104800,119826
105115,103506
105146,94536
105335,130975
71051,101930
100093,116851
100167,153379
100217,125283
100299,151165
100324,111337
100422,130207
100575,79336
100714,136696
100771,91888
107213,79356
107268,45072
107466,141188
107564,124329
107612,113373
107722,124902
107966,87632
108018,70294
108043,89352
70971,94883
100794,94349
101007,108017
101128,89053
101235,151341
101322,134104
101654,110979
110014,136334
110091,130207
110259,114837
110358,124568
110369,150238
110767,88165
110810,102560
110960,140872
110975,76928
110988,94017
111019,127308
109904,127010
109977,153759
109993,87795
110059,151165
110074,119292
110132,120621
110283,136074
110384,69049
110660,97426
110934,140027
111127,108632
111213,111993
111256,128408
83495,100629
83816,126263
83917,80659
110279,95718
110315,102198
110725,113101
110979,77240
111005,118464
111014,109396
111266,96933
111323,79336
111326,100342
111363,113647
111364,131451
111385,152127
55153,117097
55917,85758
108245,114294
108272,100463
108353,99013
108361,137199
108409,114690
108676,128345
108746,128610
105383,87290
105427,97488
105883,100006
106013,94037
106208,131442
106430,99133
72103,99503
72688,154202
72692,107892
101945,104443
102009,89061
102117,93402
102224,105992
102304,140387
102506,120893
102561,105175
101035,128729
101134,97634
101242,125044
101343,70857
101630,103461
101725,91569
101814,91987
101868,127299
101930,108150
101947,130946
111095,105324
111217,92541
111252,115441
111302,110663
111458,136574
111616,102727
111768,108260
112150,120636
112264,86288
84514,93958
84919,124805
85033,95426
85758,75762
111397,151312
111632,105199
111718,105146
111757,93417
111770,90176
111771,118425
111945,84955
57922,78925
109062,108506
109231,94813
109277,82970
109406,107790
109459,122997
111275,105137
111344,129331
111380,151312
111572,99398
111609,108163
111760,101868
111807,135350
111817,104436
62334,85438
111972,115901
112404,133250
112413,93417
112428,108827
112968,108150
112978,98637
113177,92215
106488,119458
106502,115986
106972,140918
107104,150138
107262,100370
107389,133990
107394,139114
107528,93447
107540,122982
73727,75675
73946,127060
82400,77240
82761,130499
83157,124725
113348,67291
113424,105467
113467,93137
113644,89959
113775,66511
113869,121014
114065,129632
114074,55975
114405,115469
73300,119826
73583,123078
73902,128271
102289,81330
102589,59201
102869,123078
102914,106663
102932,59209
102939,129577
102949,128610
102992,152142
103054,140545
63686,137889
64390,100372
64873,102006
112307,100792
112340,140865
112363,114837
112397,153275
112423,96709
112467,88028
112548,90888
112559,89869
112694,99344
112739,112680
112936,109257
112994,114805
102791,93402
102873,138292
103617,131241
103659,138835
103739,111303
85849,127709
86603,132003
86773,57209
86898,106010
109832,114376
109850,113168
109863,127078
109989,84919
110023,97899
110051,94858
110068,82400
110208,110151
110214,128352
110237,104608
110251,119622
110410,152740
110663,66697
110677,83831
111984,132147
112154,45072
112216,87480
112302,94947
112407,
112447,98432
112527,127474
112639,93402
113000,95023
83756,97495
107552,124166
107716,128674
107790,98359
107965,119838
108017,86121
108140,128271
108150,124222
108256,110001
108268,153759
108273,120507
108284,139666
76873,77441
77167,94349
77563,132240
77688,112680
85290,116137
85331,132540
85351,150140
85579,112876
85647,89893
86017,125385
86059,110068
113115,119605
113147,87632
113353,139986
113393,113558
113618,140136
113771,112466
114003,107176
114079,93402
75013,97635
75415,72688
76377,88663
76929,83581
77395,76873
77471,95828
103191,119218
103528,103319
103564,91853
103588,122982
103604,67263
103671,72692
103716,105146
103772,103771
103805,112525
103905,127908
110722,120872
111146,125623
111219,98359
111229,100550
111389,113002
111605,154762
111619,120093
111625,123369
111702,136562
111707,77338
86606,105087
86663,125961
86680,140145
113150,124884
113168,96270
113308,140027
113495,97248
113518,96709
113549,114262
113758,153507
113817,131129
113917,103299
104120,83831
104303,121970
104703,140075
104736,101711
104775,108957
104792,153467
104820,126333
104865,116851
114043,88028
114082,121014
114126,126099
114261,103506
114465,102142
114596,100769
114670,96574
114850,121751
114454,112234
114466,127135
114518,101800
114607,108017
114615,127265
114620,57209
114690,70487
114720,101844
114805,99344
114941,132942
115163,132327
115464,120007
61666,125982
64747,101814
108391,101242
108419,126258
109170,123343
109219,97553
109246,45
109257,90436
109274,95805
109335,102198
109343,92279
109428,131057
78156,81838
79641,129051
87408,102120
87480,124222
87795,90089
104071,137835
104160,150293
104187,89539
104599,139986
104613,100076
104758,78031
77888,114376
114105,115901
114213,112876
114846,93622
114901,120872
114915,115201
114923,105327
115243,
115599,123214
115848,96288
116037,93987
116273,105372
116419,97433
116646,108295
116698,112009
111734,86327
111831,128954
112027,115154
112048,97557
112183,126822
112227,105923
112379,90434
112400,128182
105407,112051
105517,93224
105684,123369
105726,97248
105733,109396
105984,101401
115182,129772
115475,89983
115481,129245
115560,111337
115629,112009
115659,76928
115773,97804
115808,112876
115844,70294
115891,129635
115911,126805
115937,133779
115940,108262
116087,77888
116153,124481
116173,123346
116440,124506
63317,103036
64226,112051
64267,85420
87260,98563
87459,111337
87693,115990
87840,114141
66511,107924
68430,120263
109547,93402
110022,93175
110039,124335
110195,111326
110339,126308
110343,96395
110554,137393
110647,137567
110651,91888
79696,139259
79790,82868
80659,103528
88134,139243
88662,55975
79898,91365
80323,94883
80803,101800
104782,91437
105220,79898
105321,106687
105372,93451
72412,97930
72878,123078
117196,115901
117272,131241
117321,132147
117335,100324
117540,99573
117667,95828
117760,95776
112451,133836
113045,83915
113165,135350
113200,98637
113448,104403
113468,90711
113470,97899
113534,127010
113877,113647
106241,120030
106504,151322
106664,81330
106798,106010
107107,85752
107128,95805
107143,93694
88047,81520
88149,102696
88157,91016
88272,154560
88460,86605
88663,126271
115920,121960
116023,126015
116041,115844
116287,111770
116289,140864
116393,139016
116404,106467
116447,97491
116484,108353
116851,67263
117014,109406
117325,135350
117530,124690
117908,73547
117910,128907
118165,96395
80828,95899
81313,130174
81330,136334
81520,82400
81533,151935
89555,139425
89908,150318
90091,127667
90141,140120
90399,128610
90409,99565
110788,73138
110819,97736
110854,127376
110923,140545
110983,123214
111571,129466
111577,138835
111712,126237
111778,129331
81554,131127
117774,93137
117945,139016
117986,100027
118413,101814
118464,108975
118822,135083
82805,91057
105866,78156
106258,100458
106280,97163
106467,136813
106584,150364
106687,99503
114122,123051
114148,128674
114247,136572
114337,107235
114469,86793
114515,126736
114652,85713
114778,126169
114810,113305
114966,109424
115149,112466
73480,113746
76020,76176
118176,101404
118568,90882
118751,123826
118780,97248
118994,115154
119045,97758
119288,87232
107392,138669
107548,135350
107584,98563
107701,124901
107758,103565
107796,138679
107815,87668
107996,108480
108211,131129
117124,126128
117160,150386
117273,126258
117350,124166
117498,
117728,125101
117748,101708
117818,129935
89577,
68013,133892
107019,140545
107206,108264
107234,113558
107235,91553
107265,102009
107418,132003
108016,141140
108045,91233
117918,127376
117941,102101
117993,102709
118345,105087
118349,135350
118948,99573
119019,
119051,126328
119337,91747
119411,108158
119457,96804
119479,133173
119748,93987
119837,98744
111958,84644
112019,127010
112068,115452
112146,153467
112475,91962
112759,120872
112876,154755
113164,89660
118876,113395
118908,102863
119252,110270
119264,113084
90593,140333
90693,95375
91518,128069
91776,73547
91827,124329
91888,98336
91962,137355
91975,132548
92090,87632
92541,105146
82873,91777
115154,132183
115246,131090
115404,124329
115602,125389
115788,132213
115810,105612
116034,108163
77019,112876
77024,114837
77396,112185
72218,103115
108442,151419
108587,138432
109010,111029
109244,115772
109489,98690
42785,121380
90319,101783
90554,85438
90870,102538
91018,87064
91031,124773
91057,111800
91151,120020
91192,132942
91506,100475
91542,95805
91585,111712
69049,127756
113310,95881
113373,104871
113383,88281
113596,124725
113704,115631
113828,92982
114050,120107
114186,131175
114188,151287
114191,130499
114198,86121
114251,120093
114316,72624
74918,112009
75659,120507
75675,140262
76182,75415
119077,101766
119256,138432
119400,74009
119483,133540
119621,126169
83576,133977
83946,90237
93084,98463
93199,93958
93622,125044
108226,134108
108260,106588
108295,100093
108327,91941
108827,139492
108990,126258
109087,96395
109088,97239
109211,88281
109223,86322
109293,98456
116124,130232
116152,139243
116160,105272
116177,114141
116374,133540
116722,97700
116816,128490
116821,129577
117180,130499
78845,113013
79286,95609
79758,122968
79948,114920
119830,75794
119846,108506
119891,126333
119989,97256
120042,132540
120095,81081
120260,124469
120291,98563
119962,94186
120013,110586
120072,154310
120107,138835
120127,133173
120189,46351
109490,129331
109541,93118
109842,111303
109996,89869
110101,98196
110123,102101
110170,111770
119827,102905
120119,120291
120157,97433
120177,151197
120181,104558
120194,96132
120402,123873
120783,111983
120787,88276
120858,90300
92362,88968
92663,106607
92904,77888
92962,88339
92972,106607
70923,86327
76607,137985
77338,129395
77582,105372
114458,115154
114549,104792
114595,99398
114602,118425
114621,92252
114729,126271
114779,140075
114912,95718
115044,130463
115327,133649
115559,90332
115573,98637
109660,89053
109869,140027
109916,150941
110055,91583
110105,115808
110253,110790
110308,108957
84563,151870
84912,100475
85309,133173
85606,103288
93837,150346
94338,121960
94574,120093
94613,115624
94752,93137
117298,83642
117353,138459
117543,130317
117567,112525
117708,100792
117888,96437
117929,73814
117948,127010
118002,136813
85713,103604
85785,83831
120815,84919
120874,100550
120879,102120
120896,93766
120943,150138
120973,91456
121018,104227
121022,93137
121389,109035
120548,114202
120587,130207
120866,130047
121118,114202
121375,73676
120967,118748
121046,91559
121140,141140
121344,129032
